"address","city","state","zip","full_address","lat","long","id","input_address","match_indicator","match_type","matched_address","tiger_line_id","tiger_side","state_fips","county_fips","census_tract","census_block"
"5189 augusta dr","westervill","OH",NA,"5189 augusta dr, westervill, OH, NA",40.1729783696303,-82.9411234949119,6554,"5189 augusta dr, westervill, OH, NA, , , ","Match","Non_Exact","5189 AUGUSTA DR, WESTERVILLE, OH, 43082","648559915","R","39","041","011763","3014"
"101 e main st","elida","OH",45807,"101 e main st, elida, OH, 45807",40.7886695659681,-84.2035857992492,6555,"101 e main st, elida, OH, 45807, , , ","Match","Exact","101 E MAIN ST, ELIDA, OH, 45807","35562909","L","39","003","010801","1022"
"1198 tallmadge rd.","kent","OH",44240,"1198 tallmadge rd., kent, OH, 44240",41.099973671267,-81.3506369453065,6556,"1198 tallmadge rd., kent, OH, 44240, , , ","Match","Exact","1198 TALLMADGE RD, KENT, OH, 44240","137545162","R","39","133","601702","1001"
"14520 co rd c","wauseon","OH",43567,"14520 co rd c, wauseon, OH, 43567",41.5151887481836,-84.1429353162985,6557,"14520 co rd c, wauseon, OH, 43567, , , ","Match","Exact","14520 CO RD C, WAUSEON, OH, 43567","207388655","L","39","051","040600","3001"
"17762 scott st","lake milton","OH",44429,"17762 scott st, lake milton, OH, 44429",41.0987544193458,-80.9904836482942,6558,"17762 scott st, lake milton, OH, 44429, , , ","Match","Exact","17762 SCOTT ST, LAKE MILTON, OH, 44429","64589744","L","39","099","812800","3012"
"1124 east main st.","chillicothe","OH",NA,"1124 east main st., chillicothe, OH, NA",39.3378659263077,-82.9515311504049,6559,"1124 east main st., chillicothe, OH, NA, , , ","Match","Non_Exact","1124 E MAIN ST, CHILLICOTHE, OH, 45601","635650568","R","39","141","956500","3000"
"5780 mayfield rd","mayfield hts.","OH",44124,"5780 mayfield rd, mayfield hts., OH, 44124",41.5199815183856,-81.4715002202818,6560,"5780 mayfield rd, mayfield hts., OH, 44124, , , ","Match","Exact","5780 MAYFIELD RD, MAYFIELD HTS, OH, 44124","61134431","R","39","035","172201","3002"
"730 cleveland rd w","huron","OH",44839,"730 cleveland rd w, huron, OH, 44839",41.40074333106,-82.5646096284801,6561,"730 cleveland rd w, huron, OH, 44839, , , ","Match","Exact","730 CLEVELAND RD W, HURON, OH, 44839","55326985","L","39","043","040500","3002"
"205 leffells ln","springfield","OH",45505,"205 leffells ln, springfield, OH, 45505",NA,NA,6562,"205 leffells ln, springfield, OH, 45505, , , ","No_Match",NA,NA,NA,NA,NA,NA,NA,NA
"3690 lacon road","hilliard","OH",NA,"3690 lacon road, hilliard, OH, NA",40.0288917462427,-83.1338187014515,6563,"3690 lacon road, hilliard, OH, NA, , , ","Match","Non_Exact","3690 LACON RD, HILLIARD, OH, 43026","641105578","R","39","049","007931","1002"
"12123 princeton rd","cincinnati","OH",45246,"12123 princeton rd, cincinnati, OH, 45246",39.3011203918919,-84.4656978824322,6564,"12123 princeton rd, cincinnati, OH, 45246, , , ","Match","Non_Exact","12123 PRINCETON PIKE, CINCINNATI, OH, 45246","617097184","L","39","061","022301","3000"
"2485 houx pky","lima","OH",45804,"2485 houx pky, lima, OH, 45804",NA,NA,6565,"2485 houx pky, lima, OH, 45804, , , ","No_Match",NA,NA,NA,NA,NA,NA,NA,NA
"4200 dryden rd","moraine","OH",45439,"4200 dryden rd, moraine, OH, 45439",39.6855214390611,-84.2260893385031,6566,"4200 dryden rd, moraine, OH, 45439, , , ","Match","Exact","4200 DRYDEN RD, MORAINE, OH, 45439","143578031","L","39","113","030100","2070"
"828 30th st nw","canton","OH",44709,"828 30th st nw, canton, OH, 44709",40.8313448592916,-81.3809283560074,6567,"828 30th st nw, canton, OH, 44709, , , ","Match","Exact","828 30TH ST NW, CANTON, OH, 44709","64702767","L","39","151","700701","2018"
"2334 boudinot ave","cincinnati","OH",NA,"2334 boudinot ave, cincinnati, OH, NA",39.1287491924186,-84.6053080254067,6568,"2334 boudinot ave, cincinnati, OH, NA, , , ","Match","Non_Exact","2334 BOUDINOT AVE, CINCINNATI, OH, 45238","640627354","R","39","061","010700","1000"
"2534 medina rd","medina","OH",NA,"2534 medina rd, medina, OH, NA",41.1361835272241,-81.7780150639811,6569,"2534 medina rd, medina, OH, NA, , , ","Match","Non_Exact","2534 MEDINA RD, MEDINA, OH, 44256","58682839","R","39","103","406000","3007"
"11818 mahoning ave ste i","north jack","OH",NA,"11818 mahoning ave ste i, north jack, OH, NA",NA,NA,6570,"11818 mahoning ave ste i, north jack, OH, NA, , , ","No_Match",NA,NA,NA,NA,NA,NA,NA,NA
"8050 edison st north east","louisville","OH",NA,"8050 edison st north east, louisville, OH, NA",40.9518152328156,-81.2437764326847,6571,"8050 edison st north east, louisville, OH, NA, , , ","Match","Non_Exact","8050 EDISON ST NE, LOUISVILLE, OH, 44641","633565603","R","39","151","710900","4010"
