tendigit_fips,year,subdivisionname,subdivisiontype,county,taxtype,purpose2,description,duration,millagepercent,votesfor,votesagainst,votes_pct_for,votes_pct_against,fips_id,margin_against,failed_levy,close_3,close_5,close_7_5
3900550050,1995,Mifflin,Township,Ashland,Property,roads,A,5,2,119,102,53.846153259277344,46.153846740722656,3900550050,-3.8461532592773438,0,0,1,1
3900550050,1998,Mifflin,Township,Ashland,Property,roads,A,-999,2,186,116,61.58940505981445,38.41059494018555,3900550050,-11.589405059814453,0,0,0,0
3900550050,2002,Mifflin,Township,Ashland,Property,roads,R,5,2,261,137,65.57788848876953,34.42211151123047,3900550050,-15.577888488769531,0,0,0,0
3900550050,2008,Mifflin,Township,Ashland,Property,roads,R,5,2,168,193,46.53739547729492,53.46260452270508,3900550050,3.462604522705078,1,0,1,1
3900550050,2013,Mifflin,Township,Ashland,Property,roads,R,5,2,391,103,79.14979553222656,20.850204467773438,3900550050,-29.149795532226563,0,0,0,0
3900550050,2018,Mifflin,Township,Ashland,Property,roads,R,5,2,251,124,66.93333435058594,33.06666564941406,3900550050,-16.933334350585938,0,0,0,0
3900550610,1995,Milton,Township,Ashland,Property,roads,R,5,2.5,314,139,69.315673828125,30.684326171875,3900550610,-19.315673828125,0,0,0,0
3900550610,2003,Milton,Township,Ashland,Property,roads,R,5,2.5,131,206,38.87240219116211,61.12759780883789,3900550610,11.12759780883789,1,0,0,0
3900550610,2008,Milton,Township,Ashland,Property,roads,R,5,2.5,395,286,58.00293731689453,41.99706268310547,3900550610,-8.002937316894531,0,0,0,0
3900550610,2013,Milton,Township,Ashland,Property,roads,R,5,2.5,474,36,92.94117736816406,7.0588226318359375,3900550610,-42.94117736816406,0,0,0,0
3900550610,2018,Milton,Township,Ashland,Property,roads,R,5,2.5,733,120,85.9320068359375,14.0679931640625,3900550610,-35.9320068359375,0,0,0,0
3900550610,2020,Milton,Township,Ashland,property,roads,R,5,2.5,773,458,62.79447555541992,37.20552444458008,3900550610,-12.794475555419922,0,0,0,0
3900551086,1993,Mohican,Township,Ashland,Property,roads,R,5,4.2,502,406,55.28634262084961,44.71365737915039,3900551086,-5.286342620849609,0,0,0,1
3900551086,1997,Mohican,Township,Ashland,Property,roads,A,1000,3,381,146,72.29601287841797,27.70398712158203,3900551086,-22.29601287841797,0,0,0,0
3900551086,1998,Mohican,Township,Ashland,Property,roads,R,5,4.2,262,425,38.13682556152344,61.86317443847656,3900551086,11.863174438476563,1,0,0,0
3900551086,2002,Mohican,Township,Ashland,Property,roads,A,1000,3,61,135,31.12244987487793,68.87754821777344,3900551086,18.877548217773438,1,0,0,0
3900551086,2007,Mohican,Township,Ashland,Property,roads,R,5,4.2,315,126,71.42857360839844,28.571426391601563,3900551086,-21.428573608398438,0,0,0,0
3900551086,2011,Mohican,Township,Ashland,Property,roads,R,5,4.2,286,102,73.71134185791016,26.288658142089844,3900551086,-23.711341857910156,0,0,0,0
3900551688,1994,Montgomery,Township,Ashland,Property,roads,A,5,1,190,137,58.10397720336914,41.89602279663086,3900551688,-8.10397720336914,0,0,0,0
3900551688,2007,Montgomery,Township,Ashland,Property,roads,A,5,3.3,436,77,84.99024963378906,15.009750366210938,3900551688,-34.99024963378906,0,0,0,0
3900558562,1997,Orange,Township,Ashland,Property,roads,R,5,2,364,167,68.5499038696289,31.450096130371094,3900558562,-18.549903869628906,0,0,0,0
3900558562,1998,Orange,Township,Ashland,Property,roads,A,5,1,465,207,69.19642639160156,30.803573608398438,3900558562,-19.196426391601563,0,0,0,0
3900558562,2002,Orange,Township,Ashland,Property,roads,R,5,2,177,260,40.50343322753906,59.49656677246094,3900558562,9.4965667724609375,1,0,0,0
3900558562,2007,Orange,Township,Ashland,Property,roads,R,5,2,594,281,67.885711669921875,32.114288330078125,3900558562,-17.885711669921875,0,0,0,0
3900558562,2008,Orange,Township,Ashland,Property,roads,R,5,1,627,616,50.44247817993164,49.55752182006836,3900558562,-0.4424781799316406,0,1,1,1
3900558562,2012,Orange,Township,Ashland,Property,roads,R,5,1,217,337,39.169673919677734,60.830326080322266,3900558562,10.830326080322266,1,0,0,0
3900558562,2016,Orange,Township,Ashland,Property,roads,R,5,1,531,514,50.81339645385742,49.18660354614258,3900558562,-0.8133964538574219,0,1,1,1
3900558562,2021,Orange,Township,Ashland,property,roads,R,5,1,232,88,72.5,27.5,3900558562,-22.5,0,0,0,0
3900561756,1991,Perry,Township,Ashland,Property,roads,R,5,2,364,245,59.77011489868164,40.22988510131836,3900561756,-9.77011489868164,0,0,0,0
3900561756,1999,Perry,Township,Ashland,Property,roads,R,5,2,267,132,66.91728973388672,33.08271026611328,3900561756,-16.91728973388672,0,0,0,0
3900561756,2004,Perry,Township,Ashland,Property,roads,R,5,2,452,669,40.32114028930664,59.67885971069336,3900561756,9.67885971069336,1,0,0,0
3900561756,2010,Perry,Township,Ashland,Property,roads,R,5,2,318,435,42.231075286865234,57.768924713134766,3900561756,7.768924713134766,1,0,0,0
3900561756,2011,Perry,Township,Ashland,Property,roads,R,5,2,449,102,81.48820495605469,18.511795043945313,3900561756,-31.488204956054688,0,0,0,0
3900561756,2020,Perry,Township,Ashland,property,roads,R,5,2,684,291,70.15384674072266,29.846153259277344,3900561756,-20.153846740722656,0,0,0,0
3900568966,1993,Ruggles,Township,Ashland,Property,roads,R,5,2.74,123,115,51.68067169189453,48.31932830810547,3900568966,-1.6806716918945313,0,1,1,1
