fips_id,year,pop,medfamy,poverty,unemprate,pctown,pctrent
3940572,2012,597,50112.5,0.117,0.084,0.72,0.28
3940572,2013,627,51935,0.156,0.121,0.748344371,0.251655629
3940572,2014,612,48135.32,0.172,0.128,0.695578231,0.304421769
3940572,2015,590,60595.8,0.156,0.119,0.679646018,0.320353982
3940572,2016,507,53462.5,0.1340000033378601,0.08900000154972076,0.7318087220191956,0.26819127798080444
3940572,2017,450,57108.62890625,0.07599999755620956,0.05400000140070915,0.8089622855186462,0.19103772938251495
3940572,2018,405,57637.5,0.041999999433755875,0.027000000700354576,0.8126649260520935,0.1873350888490677
3940572,2019,414,62708.62109375,0.04600000008940697,0.028999999165534973,0.7938144207000732,0.20618556439876556
3940572,2020,553,59850,0.08299999684095383,0.050999999046325684,0.8254269361495972,0.17457304894924164
3940572,2021,622,63036.01171875,0.08500000089406967,0.03799999877810478,0.8244147300720215,0.1755852848291397
3908943232,2006,1913.666667,87908.91667,0.019,0.016666667,0.964826888,0.035173112
3908943232,2007,1943.444444,90616.26444,0.018666667,0.016777778,0.964236398,0.035763603
3908943232,2008,1973.222222,93323.61222,0.018333333,0.016888889,0.963645907,0.036354093
3908943232,2009,2003,96030.96,0.018,0.017,0.963055417,0.036944583
3908943232,2010,2004,97357,0.017666667,0.016,0.980538922,0.019461078
3908943232,2011,2269,100637.5,0.017333333,0.032,0.994252874,0.005747126
3908943232,2012,2397,91761.45,0.017,0.043,0.994149603,0.005850397
3908943232,2013,2771,89072.52,0.006,0.049,0.964956647,0.035043353
3908943232,2014,2532,87860,0.001,0.042,0.968774704,0.031225296
3908943232,2015,2667,87316.28,0,0.066,0.889013873,0.110986127
3908943232,2016,2739,86185.1875,0,0.05299999937415123,0.8860898017883301,0.11391018331050873
3908943232,2017,2732,88578.140625,0,0.023000000044703484,0.8576134443283081,0.1423865258693695
3908943232,2018,2774,88686.9296875,0,0.014999999664723873,0.8835616707801819,0.1164383590221405
3908943232,2019,2456,100018,0,0.039000000804662704,0.8949511647224426,0.10504885762929916
3908943232,2020,2480,99671.8828125,0.019999999552965164,0.04500000178813934,1,0
3908943232,2021,2691,108029.4765625,0.017000000923871994,0.0560000017285347,1,0
3908943456,2006,3912.666667,68714.18333,0.068,0.04,0.871598727,0.128401273
3908943456,2007,3928.444444,69427.21556,0.072,0.044,0.87281666,0.12718334
3908943456,2008,3944.222222,70140.24778,0.076,0.048,0.874034592,0.125965408
3908943456,2009,3960,70853.28,0.08,0.052,0.875252525,0.124747475
3908943456,2010,4533,71563,0.084,0.046,0.860136775,0.139863225
3908943456,2011,4572,67726.37,0.088,0.04,0.835301837,0.164698163
3908943456,2012,4607,69326.25,0.092,0.045,0.838940742,0.161059258
3908943456,2013,4658,65212.5,0.087,0.049,0.79862602,0.20137398
3908943456,2014,4682,65038.48,0.091,0.05,0.816531397,0.183468603
3908943456,2015,4732,63250,0.089,0.059,0.827345731,0.172654269
3908943456,2016,4735,64470.76953125,0.08799999952316284,0.06499999761581421,0.839070737361908,0.16092924773693085
3908943456,2017,4766,71578.25,0.0689999982714653,0.061000000685453415,0.8634074926376343,0.1365925371646881
3908943456,2018,4798,77289.9296875,0.024000000208616257,0.02199999988079071,0.9182993173599243,0.08170070499181747
3908943456,2019,4863,74837.203125,0.02500000037252903,0.039000000804662704,0.9450955986976624,0.054904378950595856
3908943456,2020,4909,75526.921875,0.024000000208616257,0.03700000047683716,0.9700549840927124,0.029944999143481255
3908943456,2021,4853,87621.4375,0.029999999329447746,0.03500000014901161,0.9808365702629089,0.019163403660058975
3908946116,2006,1665.666667,69974.78333,0.0215,0.050333333,0.936709469,0.063290531
3908946116,2007,1692.777778,69803.17556,0.024416667,0.054222222,0.937390361,0.062609639
3908946116,2008,1719.888889,69631.56778,0.027333333,0.058111111,0.938071254,0.061928746
3908946116,2009,1747,69459.96,0.03025,0.062,0.938752147,0.061247854
3908946116,2010,1572,65938,0.033166667,0.045,0.959923664,0.040076336
3908946116,2011,1649,68870,0.036083333,0.041,0.966646452,0.033353548
3908946116,2012,1530,67786.3,0.039,0.039,0.955555556,0.044444444
3908946116,2013,1330,72225.84,0.014,0.068,0.955639098,0.044360902
3908946116,2014,1311,64295.12,0.087,0.021,0.928299008,0.071700992
3908946116,2015,1416,74854.88,0.107,0.085,0.966101695,0.033898305
3908946116,2016,1487,65595.53125,0.24500000476837158,0.14100000262260437,0.8419637084007263,0.15803632140159607
3908946116,2017,1656,58197.98828125,0.3400000035762787,0.19699999690055847,0.7711352705955505,0.22886472940444946
3908946116,2018,1571,NA,0.41999998688697815,0.20999999344348907,0.6989178657531738,0.3010821044445038
3908946116,2019,1505,58587.5,0.3070000112056732,0.21799999475479126,0.699667751789093,0.3003322184085846
3908946116,2020,1184,49350,0.29600000381469727,0.1509999930858612,0.7010135054588318,0.2989864945411682
3908946116,2021,1144,83434.921875,0.10700000077486038,0.07699999958276749,0.882867157459259,0.11713286489248276
3908946508,2006,3278,66652.45667,0.0915,0.104666667,0.909324495,0.090675505
3908946508,2007,3285.666667,66874.97111,0.098083333,0.118111111,0.911275403,0.088724597
3908946508,2008,3293.333333,67097.48556,0.104666667,0.131555556,0.913226311,0.086773689
3908946508,2009,3301,67320,0.11125,0.145,0.915177219,0.084822781
3908946508,2010,3209,50575,0.117833333,0.094,0.928949829,0.071050171
3908946508,2011,3215,51066.62,0.124416667,0.116,0.916640747,0.083359254
3908946508,2012,3216,48005.4,0.131,0.153,0.911691542,0.088308458
3908946508,2013,3233,50564.48,0.07,0.132,0.931642437,0.068357563
3908946508,2014,3238,53816.32,0.096,0.112,0.907967881,0.092032119
3908946508,2015,3258,70207.96,0.114,0.121,0.888581952,0.111418048
3908946508,2016,3280,68683.15625,0.10000000149011612,0.11100000143051147,0.8533536791801453,0.14664633572101593
3908946508,2017,3287,60580.51953125,0.08699999749660492,0.07800000160932541,0.8810465335845947,0.11895345151424408
3908946508,2018,3327,59691.5703125,0.12399999797344208,0.07000000029802322,0.8355876207351685,0.16441237926483154
3908946508,2019,3351,65139.83984375,0.0949999988079071,0.0729999989271164,0.8657117486000061,0.1342882663011551
3908946508,2020,3309,52952.76171875,0.11599999666213989,0.03799999877810478,0.838319718837738,0.16168026626110077
3908946508,2021,3260,64443.69140625,0.08799999952316284,0.02800000086426735,0.8892638087272644,0.11073619872331619
3908948132,2006,2249.333333,67384.85667,0.1505,0.060666667,0.889739315,0.110260685
3908948132,2007,2276.888889,70325.31778,0.15725,0.064111111,0.905909686,0.094090314
3908948132,2008,2304.444444,73265.77889,0.164,0.067555556,0.922080058,0.077919943
3908948132,2009,2332,76206.24,0.17075,0.071,0.938250429,0.061749571
3908948132,2010,2034,55804,0.1775,0.141,0.801376598,0.198623402
3908948132,2011,2185,64060.74,0.18425,0.092,0.887414188,0.112585812
3908948132,2012,2137,50542.85,0.191,0.118,0.848853533,0.151146467
3908948132,2013,2787,42424.08,0.255,0.12,0.793684966,0.206315034
