fips_id,year,n_sales,median_sale_amount,mean_sale_amount,log_median_sale_amount,log_mean_sale_amount,fatal_crashes,fatalities,persons_involved,vehicles_involved,any_fatal_crash,pop,medfamy,poverty,unemprate,pctown,pctrent,votes_pct_for,votes_pct_against,purpose2,description,fatal_crashes_per_10k,fatalities_per_10k
3909963968,2014,225,125550,150361.40386666666,11.740459364585732,11.920797034337552,0,0,0,0,0,14789,75359.04,0.055,0.052,0.891167513,0.108832487,NA,NA,NA,NA,0,0
3909963968,2015,411,128340,153241.23423357663,11.762438271304505,11.93976865303415,0,0,0,0,0,14720,78399.64,0.047,0.04,0.90169837,0.09830163,NA,NA,NA,NA,0,0
3909963968,2016,208,133770,152557.3,11.803877186289633,11.935295542162788,0,0,0,0,0,14616,78854.2265625,0.03500000014901161,0.035999998450279236,0.8916256427764893,0.10837438702583313,NA,NA,NA,NA,0,0
3909963968,2017,215,133500,157008.0046511628,11.801856756822442,11.964052068070005,0,0,0,0,0,14543,78525.59375,0.02199999988079071,0.029999999329447746,0.8914254307746887,0.10857456922531128,NA,NA,NA,NA,0,0
3909963968,2018,197,147900,163786.29715736042,11.90429164869889,12.006317790963783,1,1,1,1,1,14501,79666.7734375,0.026000000536441803,0.02500000037252903,0.9071788191795349,0.09282118827104568,NA,NA,NA,NA,0.6896076132680505,0.6896076132680505
3909963968,2019,225,147920,175196.30275555555,11.904426866061007,12.073662354268352,0,0,0,0,0,14398,80227.6796875,0.024000000208616257,0.02500000037252903,0.9090151190757751,0.09098485857248306,NA,NA,NA,NA,0,0
3909963968,2020,206,150570,183095.3627184466,11.92218337131709,12.11776240384514,0,0,0,0,0,14304,78090.6015625,0.03700000047683716,0.017000000923871994,0.9203020334243774,0.07969798892736435,NA,NA,NA,NA,0,0
3909963968,2021,186,159360,204817.2258064516,11.978921072818425,12.229873278993475,0,0,0,0,0,14540,82764.28125,0.04399999976158142,0.01899999938905239,0.9388583302497864,0.06114167720079422,NA,NA,NA,NA,0,0
3909972740,2006,44,92650,100618.12295454546,11.436584231713505,11.51908766907649,0,0,0,0,0,4939.666667,46773.32333,0.1295,0.071333333,0.836283043,0.163716957,NA,NA,NA,NA,0,0
3909972740,2007,42,62541.5,64791.04761904762,11.04358561537403,11.078922718769176,2,3,4,3,1,4933.444444,46228.57556,0.132083333,0.075222222,0.846690897,0.153309103,NA,NA,NA,NA,4.053962748951958,6.080944123427936
3909972740,2008,34,61233.5,69762.89970588236,11.022449704360472,11.152857624603763,1,1,3,2,1,4927.222222,45683.82778,0.134666667,0.079111111,0.857098751,0.142901249,NA,NA,NA,NA,2.0295410982987727,2.0295410982987727
3909972740,2009,31,46350,72322.6129032258,10.743976570994,11.188892124159327,2,2,4,3,1,4921,45139.08,0.13725,0.083,0.867506604,0.132493396,NA,NA,NA,NA,4.06421459053038,4.06421459053038
3909972740,2010,29,59500,60951.724137931036,10.993731591533722,11.017837422252247,0,0,0,0,0,4585,44103,0.139833333,0.081,0.822464558,0.177535442,NA,NA,NA,NA,0,0
3909972740,2011,21,63700,57771,11.061939841560255,10.964242198647998,1,1,3,3,1,4541,46036.2,0.142416667,0.073,0.802246201,0.197753799,NA,NA,NA,NA,2.2021581149526535,2.2021581149526535
3909972740,2012,40,57552,76576.8,10.960444165935405,11.246049437791013,1,1,1,1,1,4508,49467.45,0.145,0.094,0.738021296,0.261978705,NA,NA,NA,NA,2.218278615794144,2.218278615794144
3909972740,2013,57,56306,71812.47087719299,10.938556380385453,11.181813429051505,0,0,0,0,0,4456,49634.82,0.106,0.099,0.726436266,0.273563734,NA,NA,NA,NA,0,0
3909972740,2014,41,45012,121192.60975609756,10.714684399869888,11.705136375148507,0,0,0,0,0,4431,49538.32,0.115,0.079,0.760776349,0.239223652,NA,NA,NA,NA,0,0
3909972740,2015,56,55335,188698.34517857144,10.921160898698886,12.147904961729273,1,1,2,2,1,4428,50428.88,0.138,0.066,0.820009033,0.179990967,NA,NA,NA,NA,2.2583559168925023,2.2583559168925023
3909972740,2016,40,30030,60915.764,10.309952160977376,11.017247270776672,2,3,9,4,1,4367,46962.37109375,0.1889999955892563,0.06300000101327896,0.7758186459541321,0.22418135404586792,NA,NA,NA,NA,4.579803068468056,6.869704602702083
3909972740,2017,53,53400,68889.35849056604,10.885566024948286,11.14025699646036,0,0,0,0,0,4371,49797.28125,0.16500000655651093,0.04399999976158142,0.8176618814468384,0.18233813345432281,NA,NA,NA,NA,0,0
3909972740,2018,41,71340,80018.88658536585,11.175212458912883,11.290017968110046,1,1,4,2,1,4353,54616.859375,0.1459999978542328,0.054999999701976776,0.7948541045188904,0.20514588057994843,NA,NA,NA,NA,2.297266253158741,2.297266253158741
3909972740,2019,38,38700,66720.38421052632,10.563594879017874,11.108265795567101,0,0,0,0,0,4332,55900,0.13199999928474426,0.03700000047683716,0.7906278967857361,0.2093721181154251,NA,NA,NA,NA,0,0
3909972740,2020,39,65604,86733.87692307692,11.091391948683,11.370599823741088,0,0,0,0,0,4304,49311.359375,0.11900000274181366,0.03200000151991844,0.7964683771133423,0.20353159308433533,NA,NA,NA,NA,0,0
3909972740,2021,25,98770,93866.36,11.500549193902174,11.449627347547123,0,0,0,0,0,4109,59015.48828125,0.08299999684095383,0.02500000037252903,0.8435142636299133,0.15648576617240906,NA,NA,NA,NA,0,0
3909974,2006,8,58315.00000000001,58791.875,10.97361462912515,10.981758944066836,0,0,0,0,0,255,45404.35667,0.078,0.007333333,0.685166218,0.314833782,NA,NA,NA,NA,0,0
3909974,2007,1,36380,36380,10.501774452072114,10.501774452072114,0,0,0,0,0,257,46277.79111,0.082833333,0.004888889,0.662396891,0.337603109,NA,NA,NA,NA,0,0
3909974,2008,4,72357.5,65018.75,11.189374389437537,11.082430968819205,0,0,0,0,0,259,47151.22556,0.087666667,0.002444444,0.639627564,0.360372436,NA,NA,NA,NA,0,0
3909974,2009,2,58710,58710,10.980365349058232,10.980365349058232,0,0,0,0,0,261,48024.66,0.0925,0,0.616858238,0.383141763,NA,NA,NA,NA,0,0
3909974,2010,2,31250,31250,10.349774655164548,10.349774655164548,0,0,0,0,0,234,50250,0.097333333,0,0.623931624,0.376068376,NA,NA,NA,NA,0,0
3909974,2011,3,53900,56448,10.89488575689709,10.941075139366463,0,0,0,0,0,242,39406.25,0.102166667,0.015,0.483471074,0.516528926,NA,NA,NA,NA,0,0
3909974,2012,1,43200,43200,10.673595774232203,10.673595774232203,0,0,0,0,0,242,41901.65,0.107,0.067,0.47107438,0.52892562,NA,NA,NA,NA,0,0
3909974,2014,3,37200,40300,10.524064040261237,10.604106747934773,0,0,0,0,0,268,43556.48,0.134,0.138,0.485074627,0.514925373,NA,NA,NA,NA,0,0
3909974,2015,7,37200,44125.17857142857,10.524064040261237,10.694785841171965,0,0,0,0,0,304,46000,0.104,0.126,0.529605263,0.470394737,NA,NA,NA,NA,0,0
3909974,2016,1,52780,52780,10.873887610057315,10.873887610057315,0,0,0,0,0,290,43035.71875,0.14000000059604645,0.13699999451637268,0.517241358757019,0.48275861144065857,NA,NA,NA,NA,0,0
3909974,2017,6,40497.225,58281.65,10.60898873222861,10.973042571507552,0,0,0,0,0,261,51731.25,0.12800000607967377,0.06199999898672104,0.5517241358757019,0.4482758641242981,NA,NA,NA,NA,0,0
3909974,2018,6,46980,43693.285,10.757477258212903,10.68494970794934,0,0,0,0,0,265,52472.30859375,0.16500000655651093,0.029999999329447746,0.5094339847564697,0.49056604504585266,NA,NA,NA,NA,0,0
3909974,2019,4,56717,62092,10.945829268410877,11.036372435146333,0,0,0,0,0,321,48375,0.1770000010728836,0,0.5327102541923523,0.4672897160053253,NA,NA,NA,NA,0,0
3909974,2020,5,92400,70615.944,11.433882257629776,11.165011233678342,0,0,0,0,0,285,44333.51953125,0.15399999916553497,0,0.5298245549201965,0.47017544507980347,NA,NA,NA,NA,0,0
3909974,2021,5,72210,71402.078,11.187333819445227,11.17608225154563,0,0,0,0,0,271,53950,0.10300000011920929,0,0.5940959453582764,0.40590405464172363,NA,NA,NA,NA,0,0
