"tendigit_fips","year","tax_type","purpose2","description","millage_percent","duration","votes_pct_for","fail_flg"
3900751296,1999,"Property","roads","A",3,5,50.1730103806228,0
3900751296,2000,"Property","roads","R",2,5,46.2765957446808,1
3900751296,2003,"Property","roads","A",1.5,5,58.0586080586081,0
3900751296,2005,"Property","roads","R",2,5,47.8540772532189,1
3900751296,2006,"Property","roads","R",1.5,5,80.5607476635514,0
3900751296,2009,"Property","roads","R",2,5,70.1840490797546,0
3900751296,2010,"Property","roads","R",2,5,70.0653594771242,0
3900751296,2011,"Property","roads","R",1.5,5,61.9771863117871,0
3900751296,2014,"Property","roads","R",2,5,67.1666666666667,0
3900751296,2015,"Property","roads","R",2,5,61.2587412587413,0
3900751296,2018,"Property","roads","R",1.5,5,85.4243542435424,0
3900752066,1994,"Property","roads","R",1.5,-999,18.6978297161937,1
3900752066,1995,"Property","roads","R",1.5,5,66.3934426229508,0
3900752066,1998,"Property","roads","R",1.5,5,30.8771929824561,1
3900752066,1999,"Property","roads","R",1.5,5,69.0909090909091,0
3900752066,2000,"Property","roads","R",3,5,6.71378091872792,1
3900752066,2001,"Property","roads","R",1.5,5,37.8839590443686,1
3900752066,2004,"Property","roads","R",1.5,5,24.0601503759398,1
3900752066,2005,"Property","roads","R",1.5,5,51.8105849582173,0
3900752066,2007,"Property","roads","R",1.5,5,80.8219178082192,0
3900752066,2008,"Property","roads","R",1.5,5,16.751269035533,1
3900752066,2010,"Property","roads","R",3,5,11.6483516483516,1
3900752066,2011,"Property","roads","R",1.5,5,62.1160409556314,0
3900752066,2012,"Property","roads","R",1.5,5,38.6120996441281,1
3900752066,2016,"Property","roads","R",3,5,9.69899665551839,1
3900754964,1998,"Property","roads","A",5,5,12.4533929903057,1
3900754964,2003,"Property","roads","R",5,5,13.6853448275862,1
3900754964,2008,"Property","roads","R",5,5,4.75741874705605,1
3900754964,2011,"Property","roads","R",5,5,30.2681992337165,1
3900754964,2017,"Property","roads","R",5,5,82.2147651006711,0
3900756700,2008,"Property","roads","A",2,5,14.7299509001637,1
3900756700,2011,"Property","roads","A",2,5,29.878869448183,1
3900756700,2012,"Property","roads","A",2,5,51.4772727272727,0
3900756700,2016,"Income","roads","A",0.3,-999,42.6490066225166,1
3900758856,1995,"Property","roads","R",1,5,38.6976744186046,1
3900758856,2000,"Property","roads","R",1,5,65.8450704225352,0
3900758856,2010,"Property","roads","R",0.5,5,52.1046643913538,0
3900758870,1991,"Property","roads","R",0.5,5,44.6880269814502,1
3900758870,1995,"Property","roads","R",1,5,70.1517706576729,0
3900758870,2000,"Property","roads","R",1,5,22.0779220779221,1
3900758870,2005,"Property","roads","R",1,5,68.8208616780045,0
3900758870,2010,"Property","roads","R",0.5,5,27.5240384615385,1
3900758870,2016,"Property","roads","R",0.5,5,55.7669441141498,0
3900762568,1991,"Property","roads","R",3,5,13.8914873713751,1
