family,sample,outcome,estimate,std_error,t_value,p_value,n_obs,n_counties,mean_outcome
employment_reduced_form,close5_finite_duration_recommended_downstream,log_total_wages_post_avg_p2_p4,0.7867931335029574,0.9606796131375194,0.8189963883311111,0.41849231526485153,57,35,15.857521925166811
employment_reduced_form,close5_finite_duration_recommended_downstream,log_total_wages_diff_p2_p4_vs_pre,-0.09784477559822524,0.2204151723406703,-0.4439112541989526,0.6599192021081843,57,35,0.2101350565783029
employment_reduced_form,close5_finite_duration_recommended_downstream,log_avg_persons_post_avg_p2_p4,0.22481982393992794,0.6927236112902334,0.3245447683256955,0.7475140382275307,57,35,5.5180016374065906
employment_reduced_form,close5_finite_duration_recommended_downstream,log_establishments_post_avg_p2_p4,-0.13656339668507478,0.37781748674615706,-0.36145335109072696,0.7199971395964269,57,35,3.392844274965017
employment_reduced_form,close5_finite_duration_recommended_downstream,entrants_post_avg_p2_p4,-1.0695884059823388,1.6195142858219458,-0.6604377715874824,0.5134229403518893,57,35,6.8011695906432745
employment_reduced_form,close5_finite_duration_recommended_downstream,exits_post_avg_p2_p4,-2.4481286312281805,2.682837033871454,-0.91251484913916725,0.36792307914470346,57,35,8.128654970760234
employment_reduced_form_long,close5_finite_duration_recommended_downstream_long,log_total_wages_post_avg_p2_p5,1.583602725566239,1.810541196278883,0.8746571074002295,0.3921431416152745,25,21,16.098689903875773
employment_reduced_form_long,close5_finite_duration_recommended_downstream_long,log_total_wages_diff_p2_p5_vs_pre,-0.12610756187040198,0.1279957356883597,-0.9852481505903057,0.3362721866736704,25,21,0.1581453210673281
employment_reduced_form_long,close5_finite_duration_recommended_downstream_long,log_avg_persons_post_avg_p2_p5,0.748321119155249,1.265619666722446,0.5912685610307903,0.5609644182833162,25,21,5.779606686747273
employment_reduced_form_long,close5_finite_duration_recommended_downstream_long,log_establishments_post_avg_p2_p5,-0.02670711783128077,0.6563058677355373,-0.040693096228788514,0.9679440585839234,25,21,3.60291909943603
employment_reduced_form_long,close5_finite_duration_recommended_downstream_long,entrants_post_avg_p2_p5,-1.6902608444324987,2.800946653355285,-0.6034605630234751,0.552985534206559,25,21,7.333333333333333
employment_reduced_form_long,close5_finite_duration_recommended_downstream_long,exits_post_avg_p2_p5,4.875702483430335,11.993785590020643,0.4065190632961735,0.6886784408718136,25,21,14.176666666666666
pretrend_placebo,close5_finite_duration,fatal_crashes_per_10k_m3,0.16912378251739368,0.7465331270995685,0.22654558301313918,0.8217007499027463,132,51,1.232205252409896
pretrend_placebo,close5_finite_duration,fatal_crashes_per_10k_m2,-0.9479705982733113,1.0460559024790088,-0.9062332099333804,0.36899263844326036,150,53,1.3327027185223383
pretrend_placebo,close5_finite_duration,fatal_crashes_per_10k_m1,-0.741377751621773,0.7322345138049209,-1.012486761610486,0.31573895835003835,163,56,1.518796513735798
pretrend_placebo,close5_finite_duration,log_median_sale_amount_m3,0.11991861379414104,0.21619888862889744,0.5546680399452921,0.5816972295843916,129,49,11.438925306561567
pretrend_placebo,close5_finite_duration,log_median_sale_amount_m2,-0.026736738161472928,0.14527312453142746,-0.18404462799097346,0.854708284663616,146,52,11.422625838257932
pretrend_placebo,close5_finite_duration,log_median_sale_amount_m1,-0.01135559157535404,0.17149016462492866,-0.06621715945162336,0.9474494880693314,160,55,11.4380993289413
pretrend_placebo,close5_finite_duration,log_total_wages_m3,-0.21423785669186124,0.4528905759616975,-0.47304551709192566,0.6382812505508288,129,50,15.89490215585064
